Id,team_goals,opp_goals
M034984_Seychelles,2,1
M034984_Mauritius,1,2
M034985_Comoros,2,2
M034985_Maldives,2,2
M034986_Réunion,2,1
M034986_Madagascar,1,2
M034987_El Salvador,2,1
M034987_Venezuela,1,2
M034988_Mayotte,2,0
M034988_Réunion,0,2
M034989_Seychelles,5,1
M034989_Maldives,1,5
M034990_Mauritius,2,0
M034990_Comoros,0,2
M034991_Oman,1,1
M034991_Bahrain,1,1
M034992_Poland,1,0
M034992_Georgia,0,1
M034993_Norway,3,0
M034993_Czech Republic,0,3
M034994_Germany,3,2
M034994_Brazil,2,3
M034995_Botswana,1,0
M034995_Kenya,0,1
M034996_Bosnia and Herzegovina,0,0
M034996_Greece,0,0
M034997_Bolivia,1,3
M034997_Panama,3,1
M034998_Belarus,1,0
M034998_Bulgaria,0,1
M034999_Azerbaijan,0,1
M034999_North Macedonia,1,0
M035000_Austria,1,2
M035000_Slovakia,2,1
M035001_Albania,3,2
M035001_Montenegro,2,3
M035002_Russia,1,0
M035002_Serbia,0,1
M035003_China PR,1,0
M035003_Jamaica,0,1
M035004_San Marino,0,1
M035004_Romania,1,0
M035005_Senegal,0,2
M035005_Morocco,2,0
M035006_Slovenia,0,0
M035006_Belgium,0,0
M035007_Tunisia,4,2
M035007_Mali,2,4
M035008_Turkey,3,0
M035008_Estonia,0,3
M035009_Ukraine,0,1
M035009_Sweden,1,0
M035010_United States,1,1
M035010_Mexico,1,1
M035011_Wales,1,2
M035011_Australia,2,1
M035012_Zimbabwe,2,0
M035012_Zambia,0,2
M035013_Scotland,2,1
M035013_Denmark,1,2
M035014_Costa Rica,0,2
M035014_Ecuador,2,0
M035015_South Africa,3,0
M035015_Burkina Faso,0,3
M035016_Equatorial Guinea,1,4
M035016_Guinea-Bissau,4,1
M035017_Cyprus,3,2
M035017_Moldova,2,3
M035018_Hungary,4,0
M035018_Iceland,0,4
M035019_Republic of Ireland,0,0
M035019_Croatia,0,0
M035020_Israel,3,4
M035020_Ivory Coast,4,3
M035021_Italy,2,1
M035021_Spain,1,2
M035022_Japan,3,0
M035022_South Korea,0,3
M035023_Kazakhstan,1,1
M035023_Syria,1,1
M035024_Kuwait,0,0
M035024_North Korea,0,0
M035025_Latvia,0,2
M035025_Finland,2,0
M035026_Liberia,0,0
M035026_Angola,0,0
M035027_Honduras,2,0
M035027_Venezuela,0,2
M035028_Lithuania,3,0
M035028_Armenia,0,3
M035029_Malta,2,1
M035029_Central African Republic,1,2
M035030_Liechtenstein,1,2
M035030_Switzerland,2,1
M035031_France,1,1
M035031_Chile,1,1
M035032_Niger,3,3
M035032_Togo,3,3
M035033_Northern Ireland,4,0
M035033_Faroe Islands,0,4
M035034_Portugal,5,0
M035034_Luxembourg,0,5
M035035_Gambia,3,0
M035035_DR Congo,0,3
M035036_Gabon,1,1
M035036_Guinea,1,1
M035037_Seychelles,2,1
M035037_Réunion,1,2
M035038_Mayotte,0,0
M035038_Mauritius,0,0
M035039_Réunion,1,0
M035039_Mayotte,0,1
M035040_Seychelles,1,1
M035040_Mauritius,1,1
M035041_Liberia,0,0
M035041_Niger,0,0
M035042_Fiji,3,0
M035042_Samoa,0,3
M035043_Lebanon,2,3
M035043_Syria,3,2
M035044_Fiji,5,1
M035044_Samoa,1,5
M035045_Eritrea,0,3
M035045_Sudan,3,0
M035046_Qatar,0,1
M035046_Iraq,1,0
M035047_Lesotho,0,0
M035047_Eswatini,0,0
M035048_Dominican Republic,1,0
M035048_Curaçao,0,1
M035049_Barbados,4,0
M035049_Saint Lucia,0,4
M035050_Dominican Republic,1,0
M035050_Curaçao,0,1
M035051_Trinidad and Tobago,3,0
M035051_India,0,3
M035052_Tuvalu,3,0
M035052_Samoa,0,3
M035053_Lesotho,0,1
M035053_Eswatini,1,0
M035054_Indonesia,4,1
M035054_Palestine,1,4
M035055_Jordan,3,3
M035055_Tunisia,3,3
M035056_Guyana,2,1
M035056_India,1,2
M035057_Thailand,0,0
M035057_Singapore,0,0
M035058_United Arab Emirates,3,1
M035058_Qatar,1,3
W004404_Belarus,2,1
W004404_Estonia,1,2
M035059_Bahrain,1,0
M035059_Sudan,0,1
M035060_Solomon Islands,7,0
M035060_Guam,0,7
M035061_Angola,1,2
M035061_DR Congo,2,1
M035062_Fiji,3,0
M035062_Tahiti,0,3
M035063_Jordan,1,0
M035063_Indonesia,0,1
M035064_New Caledonia,5,0
M035064_Vanuatu,0,5
M035065_Oman,1,0
M035065_Kuwait,0,1
M035066_Papua New Guinea,4,0
M035066_Cook Islands,0,4
M035067_Tuvalu,4,0
M035067_American Samoa,0,4
W004405_New Caledonia,3,0
W004405_Solomon Islands,0,3
W004406_Papua New Guinea,1,0
W004406_Tahiti,0,1
M035068_Antigua and Barbuda,2,2
M035068_Saint Vincent and the Grenadines,2,2
W004407_Papua New Guinea,8,0
W004407_American Samoa,0,8
W004408_New Caledonia,0,0
W004408_Tahiti,0,0
M035069_Vanuatu,5,1
M035069_Tuvalu,1,5
M035070_Tahiti,7,0
M035070_Cook Islands,0,7
M035071_New Caledonia,9,0
M035071_Guam,0,9
M035072_Fiji,9,0
M035072_Kiribati,0,9
M035073_American Samoa,0,4
M035073_Solomon Islands,4,0
W004409_Tahiti,2,0
W004409_Solomon Islands,0,2
W004410_New Caledonia,7,0
W004410_American Samoa,0,7
W004411_Tonga,4,1
W004411_Fiji,1,4
W004412_Cook Islands,1,1
W004412_Guam,1,1
M035074_New Caledonia,8,0
M035074_Tuvalu,0,8
M035075_Cook Islands,3,0
M035075_Kiribati,0,3
M035076_American Samoa,0,2
M035076_Guam,2,0
M035077_Vanuatu,1,0
M035077_Solomon Islands,0,1
M035078_Tahiti,1,1
M035078_Papua New Guinea,1,1
W004413_China PR,0,0
W004413_South Korea,0,0
W004414_North Korea,1,0
W004414_Australia,0,1
W004415_Japan,3,0
W004415_Thailand,0,3
M035079_Argentina,1,0
M035079_Venezuela,0,1
M035080_Australia,2,1
M035080_Thailand,1,2
M035081_Azerbaijan,1,1
M035081_Belgium,1,1
M035082_Bahrain,0,0
M035082_Qatar,0,0
M035083_Belarus,0,2
M035083_Bosnia and Herzegovina,2,0
M035084_Antigua and Barbuda,5,2
M035084_Curaçao,2,5
M035085_Andorra,0,3
M035085_Armenia,3,0
M035086_United Arab Emirates,2,3
M035086_Kuwait,3,2
M035087_Bulgaria,0,3
M035087_England,3,0
M035088_Guatemala,4,0
M035088_Saint Vincent and the Grenadines,0,4
M035089_United States,0,1
M035089_Costa Rica,1,0
M035090_Albania,1,2
M035090_France,2,1
M035091_Canada,4,1
M035091_Saint Lucia,1,4
M035092_Grenada,0,3
M035092_Belize,3,0
M035093_Cyprus,0,4
M035093_Portugal,4,0
M035094_Malta,1,3
M035094_Croatia,3,1
M035095_Ukraine,2,3
M035095_Uruguay,3,2
M035096_Turkey,2,1
M035096_Kazakhstan,1,2
M035097_Netherlands,11,0
M035097_San Marino,0,11
M035098_Trinidad and Tobago,1,0
M035098_Bermuda,0,1
M035099_Tajikistan,0,1
M035099_Uzbekistan,1,0
M035100_Suriname,1,0
M035100_Cayman Islands,0,1
M035101_Northern Ireland,0,1
M035101_Serbia,1,0
M035102_Saint Kitts and Nevis,0,0
M035102_Puerto Rico,0,0
M035103_Slovenia,1,2
M035103_Estonia,2,1
M035104_Russia,1,0
M035104_North Macedonia,0,1
M035105_Poland,1,1
M035105_Mexico,1,1
M035106_Peru,2,2
M035106_Bolivia,2,2
M035107_Panama,0,2
M035107_Paraguay,2,0
M035108_Oman,0,0
M035108_Saudi Arabia,0,0
M035109_Norway,1,0
M035109_Iceland,0,1
M035110_Spain,3,2
M035110_Chile,2,3
M035111_Lithuania,0,0
M035111_Liechtenstein,0,0
M035112_Luxembourg,0,2
M035112_Romania,2,0
M035113_Japan,1,0
M035113_North Korea,0,1
M035114_Dominica,0,2
M035114_Nicaragua,2,0
M035115_Ecuador,5,2
M035115_Jamaica,2,5
M035116_El Salvador,3,2
M035116_Dominican Republic,2,3
M035117_Faroe Islands,0,1
M035117_Italy,1,0
M035118_Finland,4,1
M035118_Moldova,1,4
M035119_Georgia,0,1
M035119_Latvia,1,0
M035120_Germany,6,2
M035120_Austria,2,6
M035121_Ghana,2,0
M035121_Eswatini,0,2
M035122_Wales,2,1
M035122_Montenegro,1,2
M035123_Guyana,2,0
M035123_Barbados,0,2
M035124_Haiti,6,0
M035124_United States Virgin Islands,0,6
M035125_Hungary,2,1
M035125_Sweden,1,2
M035126_Iran,3,0
M035126_Indonesia,0,3
M035127_Iraq,0,2
M035127_Jordan,2,0
M035128_Republic of Ireland,0,0
M035128_Slovakia,0,0
M035129_Israel,0,1
M035129_Greece,1,0
M035130_South Korea,6,0
M035130_Lebanon,0,6
M035131_China PR,2,1
M035131_Singapore,1,2
W004416_Solomon Islands,4,0
W004416_American Samoa,0,4
W004417_New Caledonia,2,1
W004417_Papua New Guinea,1,2
W004418_Guam,1,2
W004418_Fiji,2,1
W004419_Tonga,0,1
W004419_Cook Islands,1,0
M035132_Kenya,2,1
M035132_Guinea-Bissau,1,2
M035133_Sierra Leone,2,1
M035133_Egypt,1,2
M035134_Solomon Islands,6,1
M035134_Tuvalu,1,6
M035135_Senegal,2,0
M035135_DR Congo,0,2
M035136_Scotland,2,2
M035136_Czech Republic,2,2
M035137_Rwanda,0,5
